title	json_key	type	chapter	description
Who are the data controller(s) of the personal data processed in the project?	dataControllers	question	Legal and ethical aspects	Article 4 (7): “ ‘controller’ means the natural or legal person, public authority, agency or other body which, alone or jointly with others, determines the purposes and means of the processing of personal data; […].” The Controller is typically the university employer of the PI, and the PI should act as a representative of her university employer and is responsible for ensuring that personal data is handled correctly in her projects. For cross-border collaborative projects the controllers of different datasets should be identified. Also, if joint controllership is considered, make sure that all parties understand their obligations, and it is probably good to define the terms for this in an agreement between the parties.
Description of the data to be worked on collaboratively	dataDescription	question	Processing, analysing and interpreting data	Briefly describe the data to be worked on directly in a shared working space. If applicable, you can refer to information provided in the previous chapters. When making the work space, it helps to know whether you expect to work with very many small files, a few very large files, whether you will use a (SQL) database to store most of the data. Maybe in order to carry out your work you have to consider specialised storage systems for parallelised access? Such information can be collected here.
Do project members store project data in cloud accounts?	dataInCloudAccounts	question	Storing and protecting data during the project	If using cloud services always choose options in line with institutional storage guidelines, and preferably with institutional log-on.
Do project members send project data or reports per e-mail or other messaging services?	dataInEmailsMessages	question	Storing and protecting data during the project	
Are data integrity and reliability requirements also met by the other storage spaces used in the project?	dataIntegrity	question	Processing, analysing and interpreting data	
IT security: If data is leaked, what will be the consequences?	dataLossLeakVandalismRisks	question	Storing and protecting data during the project	There are many factors that can contribute to the risk of information loss or information leaks. They are often part of the behavior of the people that are involved in the project, but can also be steered by properly planned infrastructure.
How do you prevent loss of data in the work space?	dataLossPrevention	question	Processing, analysing and interpreting data	
List data that you will acquire using measurement equipment	dataMeasurementEquipment	question	Reusing and collecting data	What is considered a set/collection of data may be structured according to the needs of the project. A logical unit can for example be all data recorded by a given instrument, or all measurements undertaken in a given setting or on a given set of samples.
Have data processing agreements been (or will they be) established between the data controller(s) and any data processors?	dataProcessingAgreement	question	Legal and ethical aspects	Note: A data processing agreement has to contain the obligatory clauses specified in Art 28.3 of the GDPR. The agreement should also regulate the use of any sub-processors. Article 4 (8): “ ‘processor’ means a natural or legal person, public authority, agency or other body which processes personal data on behalf of the controller.” Examples of this is if you use a secure computing environment provided by another organisation to do your analysis or to store the data, along with several other scenarios. In the case that you do, there needs to be a legal agreement established between the controller(s) and processor(s) as defined in Article 28 (3): “Processing by a processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing, the nature and purpose of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller. […]” Article 28 also lists the required contents of such an agreement. Your organisation and/or the processor organisation will probably have agreement templates that you can use.
Describe the measures put in place to protect data 	dataProtectionMeasures	question	Legal and ethical aspects	Describe the measures put in place to protect data during the transfer as well as the measures taken to ensure GDPR compliance by third parties, e.g. by establishing agreements.
Title of the dataset	dataset	question	Archiving and publishing data	Give each a short name, sufficient for yourself to know what data it is about.
Dataset	dataset	question	Legal and ethical aspects	
Name/identifier of the data	dataset	question	Reusing and collecting data	You can use any name/identifier for the data unit/set/collection, make sure that it identifies the data to yourself.
Name/identifier of the data	dataset_1	question	Reusing and collecting data	You can use any name/identifier for the data unit/set/collection, make sure that it identifies the data to yourself.
Where can the dataset be accessed?	datasetAccessed	question	Reusing and collecting data	<!-- JO: Would be nice to solve this with API-integrations --
List data that you will collect	datasets	question	Reusing and collecting data	What is considered a set/collection of data may be structured according to the needs of the project. A logical unit can for example be all data recorded by a given questionnaire.
Are there any use restrictions for these data?	dataUseRestrictions	question	Data documentation during the project	Are there any restrictions on how these data can be used? Describing data use permissions in a formalised way, e.g. by using the data use ontology (DUO), can greatly improves data reusability. Data licenses are addressed in the next question. Examples of use restrictions: - Reuse is permitted only for research on certain types of diseases - Sharing is permitted only within specific geographical boundaries
Describe the application procedure	describeApplicationProcedure	question	Reusing and collecting data	Briefly describe the application procedure, requirements, and expected time frame to receive an answer.
Describe the application procedure	describeApplicationProcedure2	question	Reusing and collecting data	Briefly describe the application procedure, requirements, and expected time frame to receive an answer.
Describe your approach to version control	describeApproachVersion	question	Processing, analysing and interpreting data	
Describe folder structure strategy	describeFolderStructure	question	Storing and protecting data during the project	Describe how you will structure your folders. Will you e.g. use a (sub)folder for each (repeated) analysis, each step in the analysis workflow, or each sample/subject?
Will you describe your new data format for others?	describeForOthers	question	Data documentation during the project	
Describe the required infrastructure	describeInfrastructure	question	Reusing and collecting data	Briefly describe the required infrastructure. Consider also the need for allocating resources. In case a trusted research environment is needed to operate on this data, this should be reflected in the information provided in the chapters 'Storing and protecting data during the project' and 'Processing, analysing and interpreting data'.
Describe the necessary conversions	describeNecessaryConversions	question	Processing, analysing and interpreting data	
Describe the published dataset(s) you are planning to reuse	describePublishedDataset	question	Reusing and collecting data	
Describe revisions plans	describeRevisionsPlans	question	About the Data Management Plan	Briefly describe DMP revision plans. When are revisions of the DMP planned, e.g. at regular intervals or when a milestone in the project is reached? Specify dates, if possible.\ Will there be a routine how version numbers will be assigned (e.g. version X.Y where number X indicates a major change and number Y minor changes)?\ Who will take responsibility for revisions can be specified in the next question. Example: The DMP will be revised before mid-term evaluation (version 2.0) of the project and when the project is ending (version 3.0). Minor revisions will be executed as needed and be assigned a version number (e.g. version 2.1).
Describe what updates are needed and how they will be executed	describeUpdatesNeeded	question	Processing, analysing and interpreting data	
