title	json_key	type	chapter	description
Related contract/collaborative agreement	relatedContractCollaborative	question	Legal and ethical aspects	
Related DMP(s)	relatedDmp	question	About the Data Management Plan	Example: DMP of connected project, v1.0.0, accessible at
Related project registration(s)	relatedRegistration	question	Legal and ethical aspects	"List all relevant systems and connected identifiers. Use the 'Add' button for any new item. Examples: Institutional systems for registrations of personal data Sikt Notification Form for personal data (""Sikt meldeskjema"") Registration of DPIA"
Do the releases have a persistent global unique identifier?	releasesHavePersistent	question	Archiving and publishing data	Examples of unique identifiers for software: release on Zenodo with DOI, snapshot or/and release referenced on Software Heritage
How available/reliable must the work space be?	reliability	question	Processing, analysing and interpreting data	There are a number of questions that can help you to decide whether your work space will be reliable enough for your project.
Will the work space storage need to be remote mounted?	remoteMount	question	Processing, analysing and interpreting data	
Name of the archive	repository	question	Archiving and publishing data	Begin typing to see a list of suggestions based on information in the FAIRsharing registry.\ If the archive is not found in the list of suggestions, preferably enter a complete URL to the archive and click outside of the text box to save the string.
Does the project require ethical pre-approval?	requiresEthicalApproval	question	Legal and ethical aspects	If the project involves health research, use of human biological material, testing on animals or similar, a pre-approval is likely needed to execute the project. It is the responsibility of the Researcher to make sure that the project and associated data is in agreement with current legislation. Examples: REK application (Medical and health research) FOTS application (Animal experiments)
Is additional hardware or software required beyond what is usually available at the institution?	requiresSpecialHardwareSoftware	question	Responsibilities and resources	This may include specialized equipment, high-performance computing resources, or licensed software not provided by the institution.
To execute the project, is additional expertise required?	requiresSpecialist	question	Responsibilities and resources	In the context of research data management this could include: Data Stewards Data Engineers Software developers Data entry specialists Data protection specialists Legal advisers
Which research data management requirements does the funder set?	researchManagementRequirements	question	About the research project	Specifying relevant guidelines will help you recognize research data management requirements and routines to be aware of. Research funders commonly have policies or guidelines for data management, sometimes as part of Open Science guidelines. Use the 'Add' button for adding any new policy/ guideline.
About the research project	researchProjectChapter	chapter	About the research project	This chapters collects administrative information about the research project this DMP is written for. Supporting information for this chapter
Resolve DOI with DataCite	resolveDoiDatacite	question	Archiving and publishing data	
Responsibilities and resources	responsibilitiesResourcesChapter	chapter	Responsibilities and resources	Clearly define responsibilities for research data management in the project and identify any associated costs. Use this section to document roles, resource needs, and expected expenses. Supporting information for this chapter
Responsibility	responsibility	question	Responsibilities and resources	Explain the contributors' responsibility, if relevant (e.g. if responsibilities are shared).
Who will be responsible for DMP revision?	responsibleDmpRevision	question	About the Data Management Plan	Indicate who takes responsibility for DMP revisions.
Who is responsible for the revison	responsibleRevison	question	About the Data Management Plan	Who is takes responsibility for the revision?
How long can you wait for a restore if you accidentally damage a file?	restoreWaitOnDamage	question	Processing, analysing and interpreting data	
How long can you wait for a restore if the storage fails?	restoreWaitOnFail	question	Processing, analysing and interpreting data	
What is the basis for the restrictions?	restrictions	question	Data documentation during the project	
Which restrictions and which implications follow?	restrictionsImplicationsFollow	question	Reusing and collecting data	
Does your computational approach require validation of results?	resultsIntegrityValidation	question	Processing, analysing and interpreting data	There are surprisingly many complications that can cause (slight) inconsistencies between results when workflows are run on different compute infrastructures. This question addresses common approaches to mitigate this.
How long will this data set be kept?	retention	question	Archiving and publishing data	For optimum reusability data needs to be available for as long as possible. Yet, there may be financial or other reasons to delete the data at a given point.
Will the consent form be available for re-users?	reusersAvailable	question	Legal and ethical aspects	It is important for re-users to know what consent items you asked exactly from participants. Note that the answers from participants is personal data that requires protection!
Reusing and collecting data	reusingCollectingChapter	chapter	Reusing and collecting data	This chapter collects information about the type and origin of the data that will be included in the project. This could be both datasets and records originating outside the project, as well as novel data collected, captured, generated or created by you or other project members. Different disciplines may use different terms to describe the data or records underlying a research project. In this chapter, an inclusive approach is used with 'data' functioning as a broad and overarching term. This includes observational and experimental data, surveys, registry data, simulations, as well as data in digital museum archives and other data records. Supporting information for this chapter
Reusing and collecting data: Dataset originates from measurement equipment	reusingCollectingDataset	question	Archiving and publishing data	
Reusing and collecting data: Dataset originates from questionnare/interview/observation	reusingCollectingDataset2	question	Archiving and publishing data	
Reusing and collecting data: Dataset originates from existing dataset/record/source	reusingCollectingDataset3	question	Archiving and publishing data	
When is the revision planned	revisionPlanned	question	About the Data Management Plan	When is the revisions planned? Example value: at a given date, when project milestone X is reached
Role of the institution/partner	roleInstitutionPartner	question	Legal and ethical aspects	
Role(s)	roles	question	About the Data Management Plan	"Indicate all roles that apply for the contributor, several choices are possible. You should specify at least one ""Contact Person"". If your project has a work package for data management, identify the leader of that work package as ""Data Steward"". <!-- LL 15.8.24: Burde man ikke få frem, i Contributor - role, hvem som har (redigerings-)adgang til dataene i aktiv fase? Hvilke roller har denne adgangen? --"
Routines for versionising the DMP (if applicable)	routinesVersionisingDmp	question	Processing, analysing and interpreting data	Indicate how version numbers will be assigned (e.g. version X.Y where number X indicates a major change and number Y minor changes). <!-- JO: check with versioninig functionlity i DSW --
What technical and procedural safeguards have been established for processing the data?	safeguards	question	Legal and ethical aspects	To ensure that the personal data that you process in the project is protected at an appropriate level, you should apply technical and procedural safeguards to ensure that the rights of the data subjects are not violated. Examples of such measures include, but are not limited to, pseudonymisation and encryption of data, the use of computing and storage environments with heightened security, and clear and documented procedures for project members to follow.
Can all data be brought into the same format, e.g. RDF?	sameFormat	question	Data documentation during the project	
Are your sources using the same vocabularies or ontologies where possible?	sameVocabularies	question	Processing, analysing and interpreting data	If sources are using different semantic resources, you will need to plan time to find or make the right mappings.
Select answer from contributor list	selectAnswerContributor	question	Storing and protecting data during the project	
Select archive	selectArchive	question	Archiving and publishing data	
Select contributor	selectContributor	question	Storing and protecting data during the project	
Select metadata standard	selectMetadataStandard	question	Archiving and publishing data	
Will you provide your results as semantically interoperable linked data?	semanticInteroperability	question	Processing, analysing and interpreting data	
Will sensitive information (other than special category personal data) be collected/processed?	sensitiveInformationThan	question	Legal and ethical aspects	There are multiple reasons for considering information sensitive. Examples include patenting, national security and research on endangered species.
What is the service level you will be offering to users of the data/repository?	serviceLevel	question	Archiving and publishing data	The amount of funding needed to maintain a repository is strongly dependent on the services offered. For advanced processing services, ensure budgeting sufficient compute resources for the users.
Do you need a shared space with your collaborators to work on data analysis?	sharedWorkingSpace	question	Processing, analysing and interpreting data	Will you be using a working space containing data and software specific to the project that is shared between all the people working on the data in the project? Sometimes such a system is called a Virtual Research Environment . You may find this partially overlapping with the chapter 'Storing and protecting data during the project', yet emphasis here is put on data processing.
Size of the dataset	sizeDataset	question	Archiving and publishing data	Approximate size of the dataset in GB.
Does the software/model use standard input and output formats?	softwareModelStandard	question	Reusing and collecting data	
If applicable: List research software/computational models/simulations you have published or will publish	softwarePackages	question	Archiving and publishing data	Research software as project result is related to research data, yet more dynamic and slightly different considerations apply for preservation. Use 'Add' button for any new item.
Is the software registered in a domain-specific registry?	softwareRegisteredDomain	question	Archiving and publishing data	
Which solutions do you use to capture dependencies?	solutionsCaptureDependencies	question	Reusing and collecting data	language-specific dependencies are often documented in own formats as e.g. Marven (Java), enviroment.yml (Python), package.json (JS)
Are special arrangements required to access facilities or equipment for the project?	specialArrangementsAccess	question	Responsibilities and resources	Necessary arrangements to access facilities or equipment may include training project members, arranging facility access, or executing security clearance. Consider that these processes can be time-consuming.
Specify access control approach	specifyAccessControl	question	Storing and protecting data during the project	
Specify a list of data that you will delete	specifyListDelete	question	Archiving and publishing data	
Specify related contracts	specifyRelatedContracts	question	Legal and ethical aspects	Add all related contracts/collaboration agreements. If possible, refer to their document identifier and specify where the contract is stored.
Specify secondary organisation	specifySecondaryOrganisation	question	Legal and ethical aspects	Start typing the organisations name (in Norwegian or English), the field will fill automatically with information from the Research Organisation Registry (ROR). In case the organisation is not registered, type the name and click outside of the text box, the string will be saved. For each collaboration, you can also specify related contracts/collaboration agreements.
Metadata standard/schema	standard	question	Data documentation during the project	Begin typing to see a list of suggestions based on the FAIRsharing standard registry.\ In case the metadata standard/schema is not found, type the name and click outside of the text box and the string will be saved. You can provide context in the next question. If the standard is only applied to a subset of data, please specify.
List metadata standards/schemas you will use	standards	question	Data documentation during the project	"Use the ""Add"" button to enter a new metadata standard/schema."
Starting date of the project	startDate	question	About the research project	
Starting date when the license becomes applicable	startingDateLicense	question	Archiving and publishing data	From which date will data be available under this license? If the data is available immediately after publication, this equals the publication date. If there is an embargo period, indicate the date the embargo ends.
Starting date when the license becomes applicable	startingDateLicense2	question	Archiving and publishing data	From which date will data be available under this license? If the data is available immediately after publication, this equals the publication date. If there is an embargo period, indicate the date the embargo ends.
Starting date when the license becomes applicable	startingDateLicense3	question	Archiving and publishing data	From which date will data be available under this license? If the data is available immediately after publication, this equals the publication date. If there is an embargo period, indicate the date the embargo ends.
Funding status	status	question	About the research project	
Approval status	status	question	Legal and ethical aspects	
Will data storage in the active phase of the project be associated with costs?	storageActivePhase	question	Responsibilities and resources	
Will storage need change over time?	storageChangeNeeds	question	Storing and protecting data during the project	To perform capacity planning, it is important to know what the need for storage capacity at the beginning and the end of the project will be.
Storage guide	storageGuide	question	Storing and protecting data during the project	Start typing the institution name and select it, and its respective storage guide, from the list.\ To add a guide which is not listed, paste the respective url in the search box and click outside of the text box and the string will be saved.
Which data storage guidelines will you be following?	storageGuidelinesFollowing	question	Storing and protecting data during the project	Institutions commonly have a storage guide that explains which data can be stored where.\ Use the 'Add' button for adding a guide.
Are there restrictions on where the data need to be stored?	storageRestrictions	question	Archiving and publishing data	<!-- 27.08.24, LL: Hører ikke dette spørsmålet hjemme under 'Storing and protecting data during the project'? --
Is the storage solution associated with costs?	storageSolutionAssociated	question	Storing and protecting data during the project	"Will using this storage solution be associated with costs (one-time/recurring)? If costs apply, these will later be included in the ""Responsibilities and resources"" section."
How will data in this storage solution be structured?	storageSolutionStructured	question	Storing and protecting data during the project	
Which storage solution will be used for this data?	storageSolutionUsed	question	Reusing and collecting data	
Which storage solution will be used for this data?	storageSolutionUsed2	question	Reusing and collecting data	
Where will you store data and documents?	storeDocuments	question	Storing and protecting data during the project	List all storage and computing solutions that you are planning to use in the course of the project. Consider all digital data that you are expecting to handle in the course of the project, including files only kept temporary (e.g. intermediate computational/analysis results) and working documents (e.g. manuscripts, electronic lab notebooks). Examples: Local hardware Institutionally managed cloud storage (e.g. OneDrive, Educloud operated by UiO) Institutionally managed data servers or network drives Institutionally managed cold storage (tape storage) Trusted research environments (TSD provided by UiO, HUNT cloud provided by NTNU, SAFE provided by UiB) National storage infrastructure (e.g. NIRD provided by Sigma2) HPC infrastructure (e.g. NREC operated by UiB and UiO) Other cloud storage (e.g. Google Drive, Dropbox) Online version control services (e.g. GitHub, GitLab) Online document services (e.g. Overleaf, Googledocs) Online platforms offering software-as-a-service
Do project members store data or software on computers in the lab or external hard drives connected to those computers?	storeLabExternalHardDrives	question	Storing and protecting data during the project	When assessing the risk, take into account who has access to the lab, who has (physical) access to the computer hardware itself. Also consider whether data on those systems is properly backed up.
	storingProtecting	question	Storing and protecting data during the project	
Storing and protecting data during the project	storingProtectingChapter	chapter	Storing and protecting data during the project	This chapters collects information about data storage and backup throughout the research project. Consider all digital data and documents that you are expecting to handle in the course of the project, including working documents. If specific solutions are chosen during data processing and analysis or preservation, this may be specified in the respective chapters. Supporting information for this chapter
Is sufficient network capacity available?	sufficient	question	Reusing and collecting data	Can the volume of data be accommodated by the standard network connection? Has a special network connection (e.g. light path) that is needed been reserved?
Is there sufficient experience with the chosen computing platform in the project, and sufficient time to support the project partners?	sufficientExperience	question	Processing, analysing and interpreting data	
Did you arrange for system administration (at least security updates) and hardware maintenance for the server(s)?	systemAdmin	question	Archiving and publishing data	
System for cross-referencing between physical samples and digital data	systemCrossReferencing	question	Reusing and collecting data	Briefly describe which identifier system will be used to enable cross-referencing.
Is it possible to store intermediate temporary data on a separate (scratch) area that is not backed up?	temporaryData	question	Storing and protecting data during the project	If the intermediate results are in your main work space, a restore in case of a problem could take much more time. It may be faster to recover it by re-running computations.
Termination date	terminationDate	question	Storing and protecting data during the project	
What type of testing do you use?	testing	question	Reusing and collecting data	
Timepoint of deletion	timepointDeletion	question	Archiving and publishing data	
Title or acronym of grant proposal	titleAcronymGrant	question	About the research project	
Title of agreement	titleAgreement	question	Legal and ethical aspects	
Title of contract	titleContract	question	Legal and ethical aspects	
Title of the dataset	titleDataset	question	Reusing and collecting data	
Title of the published dataset, record or digital source	titlePublishedDataset	question	Reusing and collecting data	
What will be the total costs for data management in the project?	totalCostsManagement	question	Responsibilities and resources	Summarise the expected costs based on the previous questions. If you are converting currencies, remember to indicate the conversion rate.
What kind of training?	training	question	Responsibilities and resources	
Do you plan to transfer data outside the EU/EEA?	transferOutsideEu	question	Legal and ethical aspects	Where personal data are transferred to a third country or to an international organization, appropriate measures (technical and organizational) must be put in place to protect the data. If sufficient protection levels are not offered by the countries, the addition of specific data protection clauses must be added to contracts. Keep in mind that a processor shall not transfer data outside the EU/EEA without the data controller’s approval and instructions, and that it should be subject to contractual agreements as imposed by the data controller.
"Can your work flow and work flow system make use of ""trivial"" parallelism in the computations?"	trivialParallelism	question	Processing, analysing and interpreting data	"If you need to perform many similar calculations of different input data (e.g. samples or simulations), these can often be executed at the same time on different nodes in a compute system. This is sometimes called ""trivial parallelism"". Even though it is named ""trivial"", this still requires that the work flow and workflow system support this (e.g. by making sure all file names are unique, and that not many threads are trying to read or write the same file at the same time)."
Can you make use of an existing 'trusted third party' for pseudonymization?	trustedThirdParty	question	Archiving and publishing data	Making use of the same pseudonymization for different studies makes it possible to integrate information later. Obviously it also raises the risk of re-identification.
What type of archive is this?	typeOfArchive	question	Archiving and publishing data	
If applicable: For set not registered in FAIRsharing, please specify its URL	url	question	Data documentation during the project	
Give a link/reference to the policy, guideline or process	url	question	Legal and ethical aspects	
Link to the ontology	url	question	Processing, analysing and interpreting data	
Will you be using common ontologies?	useOntologies	question	Processing, analysing and interpreting data	
Which vocabularies/ontologies/terminologies can be used to describe the data?	usesVocabularies	question	Data documentation during the project	"It is best practice to rely on controlled vocabularies, ontologies or terminologies to avoid ambiguity in the description of the data. Using defined terms ensures interoperability of your data and thereby facilitates their re-use, potentially even across different research fields. Use the ""Add"" button to enter a new vocabulary/ontology/terminology which can be applied."
Which version(s) of the data will you use?	version	question	Reusing and collecting data	If you are planning to switch to using a different version of the data during the course of the project, this should be indicated.
Do you use a versioning scheme?	versioningScheme	question	Reusing and collecting data	
What kind of consent will you be acquiring?	whatKind	question	Legal and ethical aspects	
What process?	whatProcess	question	Archiving and publishing data	
What software will you be using to collect all data?	whatSoftware	question	Data documentation during the project	
Where will the data be stored?	where	question	Archiving and publishing data	
If applicable: Where do you keep restrictions on the usage of the data?	whereDataRestrictions	question	Data documentation during the project	
Who else could be interested in using the data?	whoInterested	question	Planning considerations (pre-start/ before submitting the proposal)	What application for your data inside or outside your own research field can you foresee? In short: why is your data valuable?
Who else could be interested in using data from this project?	whoInterested	question	Reusing and collecting data	How does the project in this DMP relate to other projects when it comes to data? Who could be interested in making use of the data? This question relates both to general reuse possibilities for these type of data and concrete plans to reuse the data from this project. Several choices are possible.
Who will execute the measurements? And where?	whoWhere	question	Reusing and collecting data	If a core facility, collaboration partner or subcontractor is executing measurements, consider listing them as project partners in the chapter 'Legal and ethical aspects', including any related contracts or agreements.
Why will you develop your own software?	why	question	Data documentation during the project	
Why is a DPIA deemed necessary for this project?	whyNecessary	question	Legal and ethical aspects	Below listed are 9 criteria - provided by the EC - that might indicate that your project constitutes high risk processing . Please check the indicators that apply your project. Consult the linked EC Guideline for explanations of indicators.
Work space	workSpace	question	Processing, analysing and interpreting data	
Do you need to work together on documents? (e.g. manuscripts)	workTogetherDocuments	question	Storing and protecting data during the project	If project members or collaborators need to work together on editing documents, different approaches come with different challenges. Please consider also whether you need a joint space for data analysis and tools, which can be specified in the chapter 'Processing, analysing and interpreting data'.
If applicable: Work space considerations	workWithData	question	Processing, analysing and interpreting data	The following questions can be used to investigate which requirements a shared workspace needs to meet such as the dynamics of the data in the working area, e.g. who works with it, the software that is run on it, etc.
